"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Lat Pulldown (Machine)",,"",0,"normal",60,10,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Lat Pulldown (Machine)",,"",1,"dropset",40,11,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",65,11,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Seated Cable Row - V Grip (Cable)",,"",1,"dropset",45,11,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Face Pull",,"",0,"normal",70,12,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Hammer Curl (Dumbbell)",,"",0,"normal",40,8,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Hammer Curl (Dumbbell)",,"",1,"failure",30,10,,,
"Thursday AM (Pull)","25 Jun 2026, 07:48","25 Jun 2026, 08:20","","Hammer Curl (Dumbbell)",,"",2,"dropset",25,10,,,
"Tuesday PM #2 (Swim)","23 Jun 2026, 20:49","23 Jun 2026, 21:25","","Swimming",,"",0,"normal",,,0.8,2160,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",0,"normal",55,3,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",1,"normal",55,3,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",2,"normal",55,3,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",0,"normal",75,6,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",1,"normal",75,6,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Bench Press (Barbell)",,"",2,"normal",75,6,,,
"Tuesday PM #1 (Push)","23 Jun 2026, 19:24","23 Jun 2026, 20:09","","Seated Shoulder Press (Machine)",,"",0,"normal",60,15,,,
